fighter,opponent,method,round,time,time_format,referee,event_date,event_location,event_url,f_rd1_KD,f_rd1_Sig_str,f_rd1_Total_str,f_rd1_Sub_att,f_rd1_Rev,f_rd1_Ctrl,o_rd1_KD,o_rd1_Sig_str,o_rd1_Total_str,o_rd1_Sub_att,o_rd1_Rev,o_rd1_Ctrl,f_rd1_Head,f_rd1_Body,f_rd1_Leg,f_rd1_Distance,f_rd1_Clinch,f_rd1_Ground,o_rd1_Head,o_rd1_Body,o_rd1_Leg,o_rd1_Distance,o_rd1_Clinch,o_rd1_Ground
Felipe Arantes,Milton Vieira,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,"June 23, 2012","Belo Horizonte, Minas Gerais, Brazil",http://ufcstats.com/event-details/3da19339ee7051d5,0,5 of 11,8 of 14,0,0,0:00,0,9 of 23,39 of 55,0,0,3:17,0 of 5,1 of 2,4 of 4,5 of 11,0 of 0,0 of 0,6 of 19,2 of 3,1 of 1,4 of 13,0 of 0,5 of 10
John Alessio,Shane Roller,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,"July 07, 2012","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/e8efeb9cf33b1941,0,23 of 68,36 of 82,0,0,1:21,0,15 of 42,17 of 44,0,0,0:00,17 of 61,6 of 7,0 of 0,19 of 63,4 of 5,0 of 0,10 of 35,2 of 4,3 of 3,15 of 42,0 of 0,0 of 0
Thiago Perpetuo,Leonardo Mafra,KO/TKO,3,0:41,3 Rnd (5-5-5),Mario Yamasaki,"June 23, 2012","Belo Horizonte, Minas Gerais, Brazil",http://ufcstats.com/event-details/3da19339ee7051d5,0,24 of 37,29 of 42,0,0,1:05,0,25 of 53,29 of 61,0,0,0:00,10 of 18,11 of 16,3 of 3,20 of 32,4 of 5,0 of 0,12 of 36,4 of 6,9 of 11,22 of 50,3 of 3,0 of 0
John Teixeira,Hugo Viana,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,"June 23, 2012","Belo Horizonte, Minas Gerais, Brazil",http://ufcstats.com/event-details/3da19339ee7051d5,0,19 of 54,24 of 59,0,0,0:00,0,24 of 56,28 of 60,0,0,0:35,8 of 42,9 of 10,2 of 2,13 of 47,6 of 7,0 of 0,17 of 44,6 of 11,1 of 1,22 of 47,2 of 7,0 of 2
Delson Heleno,Francisco Trinaldo,KO/TKO,1,4:21,3 Rnd (5-5-5),Herb Dean,"June 23, 2012","Belo Horizonte, Minas Gerais, Brazil",http://ufcstats.com/event-details/3da19339ee7051d5,0,3 of 4,4 of 5,0,0,1:07,0,21 of 26,41 of 47,0,0,1:09,1 of 2,1 of 1,1 of 1,1 of 2,2 of 2,0 of 0,9 of 13,12 of 13,0 of 0,2 of 3,8 of 8,11 of 15
Fabricio Werdum,Mike Russow,KO/TKO,1,2:28,3 Rnd (5-5-5),Herb Dean,"June 23, 2012","Belo Horizonte, Minas Gerais, Brazil",http://ufcstats.com/event-details/3da19339ee7051d5,1,31 of 58,31 of 58,0,0,0:11,0,3 of 16,3 of 16,0,0,0:10,26 of 52,2 of 3,3 of 3,18 of 37,0 of 2,13 of 19,3 of 16,0 of 0,0 of 0,3 of 16,0 of 0,0 of 0
Anistavio Medeiros,Rodrigo Damm,Submission,1,2:12,3 Rnd (5-5-5),Mario Yamasaki,"June 23, 2012","Belo Horizonte, Minas Gerais, Brazil",http://ufcstats.com/event-details/3da19339ee7051d5,0,8 of 18,8 of 18,0,0,0:00,0,11 of 21,12 of 22,1,0,0:33,2 of 12,0 of 0,6 of 6,8 of 18,0 of 0,0 of 0,7 of 16,2 of 2,2 of 3,11 of 21,0 of 0,0 of 0
Marcos Vinicius,Wagner Campos,KO/TKO,3,1:04,3 Rnd (5-5-5),Herb Dean,"June 23, 2012","Belo Horizonte, Minas Gerais, Brazil",http://ufcstats.com/event-details/3da19339ee7051d5,0,6 of 20,15 of 30,0,0,0:00,0,13 of 28,39 of 66,0,0,2:33,4 of 15,0 of 0,2 of 5,4 of 16,2 of 3,0 of 1,3 of 17,3 of 4,7 of 7,13 of 23,0 of 1,0 of 4
Iuri Alcantara,Hacran Dias,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,"June 23, 2012","Belo Horizonte, Minas Gerais, Brazil",http://ufcstats.com/event-details/3da19339ee7051d5,0,6 of 9,11 of 14,0,0,0:34,0,9 of 10,41 of 44,0,0,3:45,0 of 3,3 of 3,3 of 3,2 of 5,4 of 4,0 of 0,3 of 4,0 of 0,6 of 6,1 of 1,0 of 0,8 of 9
Constantinos Philippou,Riki Fukuda,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,"July 07, 2012","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/e8efeb9cf33b1941,0,6 of 37,13 of 44,0,0,0:00,0,12 of 25,16 of 29,0,0,0:55,5 of 35,1 of 2,0 of 0,5 of 36,1 of 1,0 of 0,5 of 15,1 of 2,6 of 8,12 of 25,0 of 0,0 of 0
